time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
29.147,13.190673453430847,18.537414819364635,7.8394195052215805,9.929561289809902,1104.68724669,637.156982674,1022.4696819,636.450646207,1124.73150599,558.753634809,1002.14288801,563.572419153,1022.84639468,559.758202229,1023.17601837,567.590688833,1103.82394656,555.959681672,1104.53028303,565.86408858,1095.70892537,653.71664874,1038.02478054,655.772872678,1069.48029789,661.98863359,1030.85154131,561.861515265,1017.69798665,562.850386319,1085.49059114,594.03906544,1044.19345236,594.086154538,1113.022017,543.55955258,1019.37749781,545.662865616,1123.7583313,601.981426605,1007.62091972,601.275090138,1066.68634475,637.156982674,1066.70204111,655.694390848
29.181,13.218539667062933,18.427560351953378,7.728990044450037,9.821109676835796,1104.72348352,637.186022727,1022.474526,636.463989894,1124.78343919,558.766978496,1002.19482121,563.570066473,1022.88263152,559.740153184,1023.19655883,567.462765226,1104.03284342,555.941632627,1104.75487625,565.736164973,1095.7451622,653.729992427,1038.04532101,655.770519999,1069.53223109,661.98628091,1030.95056361,561.874858952,1017.76561622,562.816640908,1085.66809527,594.11519459,1044.16690373,594.209372786,1113.10534293,543.572896267,1019.39803828,545.707602035,1123.87304997,602.057555756,1007.62576382,601.335522922,1066.70688522,637.186022727,1066.73827795,655.613556339
29.216,13.246589050683042,18.317719575738263,7.618576877536632,9.712715416696046,1104.75972035,637.21506278,1022.4793701,636.47733358,1124.83537239,558.780322183,1002.24675441,563.567713794,1022.91886835,559.722104139,1023.2170993,567.334841619,1104.24174028,555.923583582,1104.97946948,565.608241366,1095.78139904,653.743336113,1038.06586148,655.768167319,1069.58416429,661.983928231,1031.04958591,561.888202639,1017.83324579,562.782895497,1085.8455994,594.191323741,1044.1403551,594.332591034,1113.18866886,543.586239954,1019.41857874,545.752338453,1123.98776863,602.133684906,1007.63060792,601.395955707,1066.72742568,637.21506278,1066.77451478,655.53272183
29.247,13.274820443253773,18.207892739499325,7.508180722441756,9.60438045070593,1104.79595719,637.244102832,1022.48421421,636.490677267,1124.88730559,558.793665869,1002.29868761,563.565361115,1022.95510518,559.704055094,1023.23763977,567.206918012,1104.45063714,555.905534536,1105.2040627,565.480317759,1095.81763587,653.7566798,1038.08640195,655.76581464,1069.63609749,661.981575552,1031.1486082,561.901546325,1017.90087535,562.749150086,1086.02310353,594.267452891,1044.11380647,594.455809282,1113.2719948,543.59958364,1019.43911921,545.797074872,1124.10248729,602.209814056,1007.63545203,601.456388491,1066.74796615,637.244102832,1066.81075162,655.451887321
29.284,13.303232685895898,18.09808009495612,7.397802342397143,9.496106807754414,1104.83219402,637.273142885,1022.48905831,636.504020954,1124.93923879,558.807009556,1002.35062081,563.563008435,1022.99134202,559.686006048,1023.25818024,567.078994406,1104.659534,555.887485491,1105.42865593,565.352394152,1095.85387271,653.770023486,1038.10694242,655.763461961,1069.68803069,661.979222873,1031.2476305,561.914890012,1017.96850492,562.715404675,1086.20060765,594.343582042,1044.08725784,594.579027531,1113.35532073,543.612927327,1019.45965968,545.84181129,1124.21720596,602.285943207,1007.64029613,601.516821276,1066.76850662,637.273142885,1066.84698845,655.371052812
29.315,13.331824632399309,17.988281904112483,7.28744254175158,9.38789661002301,1104.86843086,637.302182937,1022.49390241,636.51736464,1124.99117199,558.820353242,1002.40255401,563.560655756,1023.02757885,559.667957003,1023.27872071,566.951070799,1104.86843086,555.869436446,1105.65324915,565.224470546,1095.89010954,653.783367173,1038.12748288,655.761109281,1069.73996389,661.976870193,1031.3466528,561.928233698,1018.03613448,562.681659263,1086.37811178,594.419711192,1044.06070921,594.702245779,1113.43864666,543.626271014,1019.48020015,545.886547709,1124.33192462,602.362072357,1007.64514023,601.57725406,1066.78904709,637.302182937,1066.88322529,655.290218303
29.347,13.360595109153138,17.87849843114956,7.177102178612847,9.279752076642238,1104.90466769,637.33122299,1022.49874651,636.530708327,1125.04310519,558.833696929,1002.45448721,563.558303077,1023.06381569,559.649907958,1023.29926117,566.823147192,1105.07732772,555.851387401,1105.87784238,565.096546939,1095.92634637,653.79671086,1038.14802335,655.758756602,1069.79189709,661.974517514,1031.4456751,561.941577385,1018.10376405,562.647913852,1086.55561591,594.495840342,1044.03416058,594.825464027,1113.52197259,543.6396147,1019.50074062,545.931284127,1124.44664329,602.438201507,1007.64998433,601.637686845,1066.80958756,637.33122299,1066.91946212,655.209383794
29.383,13.389542975236045,17.768729950931494,7.06678216484695,9.171675531575186,1104.94090453,637.360263042,1022.50359061,636.544052013,1125.09503839,558.847040616,1002.50642041,563.555950397,1023.10005252,559.631858913,1023.31980164,566.695223585,1105.28622458,555.833338355,1106.10243561,564.968623332,1095.96258321,653.810054546,1038.16856382,655.756403923,1069.84383029,661.972164835,1031.5446974,561.954921072,1018.17139362,562.614168441,1086.73312004,594.571969493,1044.00761195,594.948682275,1113.60529852,543.652958387,1019.52128109,545.976020546,1124.56136195,602.514330658,1007.65482844,601.698119629,1066.83012803,637.360263042,1066.95569895,655.128549285
29.416,13.418667082656956,17.658976741185466,6.956483468868401,9.063669403984637,1104.97714136,637.389303095,1022.50843472,636.5573957,1125.14697159,558.860384302,1002.55835361,563.553597718,1023.13628935,559.613809867,1023.34034211,566.567299978,1105.49512144,555.81528931,1106.32702883,564.840699725,1095.99882004,653.823398233,1038.18910429,655.754051243,1069.89576349,661.969812155,1031.64371969,561.968264758,1018.23902318,562.58042303,1086.91062416,594.648098643,1043.98106332,595.071900523,1113.68862446,543.666302073,1019.54182155,546.020756964,1124.67608061,602.590459808,1007.65967254,601.758552413,1066.85066849,637.389303095,1066.99193579,655.047714776
29.451,13.447966286269788,17.549239090130893,6.8462071197017815,8.95573624444655,1105.01337819,637.418343147,1022.51327882,636.570739387,1125.19890479,558.873727989,1002.61028681,563.551245039,1023.17252619,559.595760822,1023.36088258,566.439376372,1105.7040183,555.797240265,1106.55162206,564.712776118,1096.03505688,653.83674192,1038.20964476,655.751698564,1069.94769669,661.967459476,1031.74274199,561.981608445,1018.30665275,562.546677619,1087.08812829,594.724227793,1043.95451469,595.195118772,1113.77195039,543.67964576,1019.56236202,546.065493383,1124.79079928,602.666588959,1007.66451664,601.818985198,1066.87120896,637.418343147,1067.02817262,654.966880267
29.482,13.477439454167644,17.43951728970019,6.735954214469626,8.847878722398594,1105.04961503,637.4473832,1022.51812292,636.584083073,1125.25083799,558.887071676,1002.66222001,563.548892359,1023.20876302,559.577711777,1023.38142305,566.311452765,1105.91291515,555.77919122,1106.77621528,564.584852511,1096.07129371,653.850085606,1038.23018523,655.749345885,1069.99962989,661.965106797,1031.84176429,561.994952131,1018.37428231,562.512932207,1087.26563242,594.800356944,1043.92796606,595.31833702,1113.85527632,543.692989447,1019.58290249,546.110229801,1124.90551794,602.742718109,1007.66936074,601.879417982,1066.89174943,637.4473832,1067.06440946,654.886045758
